metric_type,symbol,value,description,timestamp
sector_allocation,Technology,0.375,Sector allocation weight,2025-08-31T02:22:29.604946
sector_allocation,Healthcare,0.25,Sector allocation weight,2025-08-31T02:22:29.604946
sector_allocation,Consumer Discretionary,0.25,Sector allocation weight,2025-08-31T02:22:29.604946
sector_allocation,Industrials,0.125,Sector allocation weight,2025-08-31T02:22:29.604946
beta_beta,RTX,0.5613063901223417,Beta statistic: beta,2025-08-31T02:22:29.604946
beta_alpha,RTX,0.0009884289213961599,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,RTX,0.1709194931248621,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,RTX,0.41342410805958346,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,RTX,0.25770457777505684,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,RTX,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,RTX,0.24898634406880354,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,RTX,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
beta_beta,PFE,0.445321447043174,Beta statistic: beta,2025-08-31T02:22:29.604946
beta_alpha,PFE,-0.000488960230824135,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,PFE,0.11747077787179083,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,PFE,0.34274010251470566,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,PFE,0.2466190578387328,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,PFE,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,PFE,0.2544815097743151,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,PFE,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
beta_beta,MRVL,2.4879437647232225,Beta statistic: beta,2025-08-31T02:22:29.604946
beta_alpha,MRVL,-0.000902487264555626,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,MRVL,0.43164771893213516,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,MRVL,0.6569990250617845,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,MRVL,0.7187763509392563,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,MRVL,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,MRVL,0.6110626589750134,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,MRVL,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
beta_beta,ADI,1.6267675781442374,Beta statistic: beta,2025-08-31T02:22:29.604946
beta_alpha,ADI,-0.0003113035368026892,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,ADI,0.5992393978224262,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,ADI,0.774105546952369,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,ADI,0.3988809300035744,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,ADI,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,ADI,0.27913514446918614,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,ADI,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
beta_beta,LLY,0.6918311628785931,Beta statistic: beta,2025-08-31T02:22:29.604946
beta_alpha,LLY,-0.0011283258557305328,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,LLY,0.10809646567860054,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,LLY,0.3287802696005352,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,LLY,0.3994039156083172,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,LLY,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,LLY,0.38170805237513844,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,LLY,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
beta_beta,RIVN,1.2655515055184317,Beta statistic: beta,2025-08-31T02:22:29.604946
beta_alpha,RIVN,-0.0002666376399365867,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,RIVN,0.14416593101454123,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,RIVN,0.3796918895822524,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,RIVN,0.6326542783054168,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,RIVN,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,RIVN,0.5874431020878742,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,RIVN,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
beta_beta,TSLA,2.408798084914355,Beta statistic: beta,2025-08-31T02:22:29.604946
beta_alpha,TSLA,0.0013441374662280206,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,TSLA,0.4132158403194227,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,TSLA,0.6428186683034514,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,TSLA,0.7112624172943071,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,TSLA,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,TSLA,0.6069227478761563,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,TSLA,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
beta_beta,PLTR,2.133324709364917,Beta statistic: beta,2025-08-31T02:22:29.604946
beta_alpha,PLTR,0.006146645630190033,Beta statistic: alpha,2025-08-31T02:22:29.604946
beta_r_squared,PLTR,0.31494791589625026,Beta statistic: r_squared,2025-08-31T02:22:29.604946
beta_correlation,PLTR,0.5612022058903994,Beta statistic: correlation,2025-08-31T02:22:29.604946
beta_ticker_volatility,PLTR,0.7215319041795111,Beta statistic: ticker_volatility,2025-08-31T02:22:29.604946
beta_benchmark_volatility,PLTR,0.18980949991733187,Beta statistic: benchmark_volatility,2025-08-31T02:22:29.604946
beta_tracking_error,PLTR,0.6347586935514766,Beta statistic: tracking_error,2025-08-31T02:22:29.604946
beta_observations,PLTR,252.0,Beta statistic: observations,2025-08-31T02:22:29.604946
