Date,Ticker,Avg_Sentiment,Count_Positive,Count_Negative,Count_Neutral,Headlines,Category
2025-04-24 00:00:00,AAPL,-0.1,5,9,26,40,
2025-04-24 00:00:00,ADI,0.075,11,8,21,40,
2025-04-24 00:00:00,AMZN,-0.075,9,12,19,40,
2025-04-24 00:00:00,ARM,-0.15,6,12,22,40,
2025-04-24 00:00:00,GOOGL,0.15,10,4,26,40,
2025-04-24 00:00:00,LLY,0.1,10,6,24,40,
2025-04-24 00:00:00,META,-0.25,2,12,26,40,
2025-04-24 00:00:00,MRVL,-0.125,9,14,17,40,
2025-04-24 00:00:00,MSFT,0.025,6,5,29,40,
2025-04-24 00:00:00,NVDA,0.0,4,4,21,29,
2025-04-24 00:00:00,NVMI,0.175,12,5,23,40,
2025-04-24 00:00:00,PFE,-0.175,3,10,27,40,
2025-04-24 00:00:00,RTX,-0.15,7,13,20,40,
2025-04-24 00:00:00,SMCI,-0.125,9,14,17,40,
2025-04-24 00:00:00,SOFI,0.025,9,8,23,40,
2025-04-24 00:00:00,SRAD,0.15,11,5,24,40,
2025-04-24 00:00:00,TSLA,-0.15,9,15,16,40,
2025-04-24 00:00:00,UUUU,-0.125,5,10,25,40,
2025-04-24 00:00:00,AAPL,-0.1,5,9,26,40,
2025-04-24 00:00:00,ADI,0.075,11,8,21,40,
2025-04-24 00:00:00,AMZN,-0.125,8,13,19,40,
2025-04-24 00:00:00,ARM,-0.125,7,12,21,40,
2025-04-24 00:00:00,GOOGL,0.15,9,3,28,40,
2025-04-24 00:00:00,LLY,0.1,10,6,24,40,
2025-04-24 00:00:00,META,-0.25,2,12,26,40,
2025-04-24 00:00:00,MRVL,-0.15,9,15,16,40,
2025-04-24 00:00:00,MSFT,0.025,6,5,29,40,
2025-04-24 00:00:00,NVDA,-0.0344827586206896,4,5,20,29,
2025-04-24 00:00:00,NVMI,0.175,12,5,23,40,
2025-04-24 00:00:00,PFE,-0.15,4,10,26,40,
2025-04-24 00:00:00,RTX,-0.15,7,13,20,40,
2025-04-24 00:00:00,SMCI,-0.075,9,12,19,40,
2025-04-24 00:00:00,SOFI,0.0,9,9,22,40,
2025-04-24 00:00:00,SRAD,0.15,11,5,24,40,
2025-04-24 00:00:00,TSLA,-0.15,9,15,16,40,
2025-04-24 00:00:00,UUUU,-0.125,5,10,25,40,
2025-04-24 00:00:00,AAPL,-0.1,5,9,26,40,
2025-04-24 00:00:00,ADI,0.075,11,8,21,40,
2025-04-24 00:00:00,AMZN,-0.075,9,12,19,40,
2025-04-24 00:00:00,ARM,-0.125,7,12,21,40,
2025-04-24 00:00:00,GOOGL,0.15,9,3,28,40,
2025-04-24 00:00:00,LLY,0.1,10,6,24,40,
2025-04-24 00:00:00,META,-0.275,2,13,25,40,
2025-04-24 00:00:00,MRVL,-0.15,9,15,16,40,
2025-04-24 00:00:00,MSFT,0.025,6,5,29,40,
2025-04-24 00:00:00,NVDA,0.0,4,4,21,29,
2025-04-24 00:00:00,NVMI,0.175,12,5,23,40,
2025-04-24 00:00:00,PFE,-0.2,3,11,26,40,
2025-04-24 00:00:00,RTX,-0.15,7,13,20,40,
2025-04-24 00:00:00,SMCI,-0.075,9,12,19,40,
2025-04-24 00:00:00,SOFI,0.025,9,8,23,40,
2025-04-24 00:00:00,SRAD,0.15,11,5,24,40,
2025-04-24 00:00:00,TSLA,-0.2,8,16,16,40,
2025-04-24 00:00:00,UUUU,-0.125,5,10,25,40,
2025-04-24 00:00:00,ADI,0.1142857142857142,10,6,19,35,Portfolio
2025-04-24 00:00:00,GOOGL,0.175,10,3,27,40,Watchlist
2025-04-24 00:00:00,LLY,0.1,10,6,24,40,Portfolio
2025-04-24 00:00:00,MRVL,-0.05,10,12,18,40,Portfolio
2025-04-24 00:00:00,NVMI,-0.0454545454545454,3,4,15,22,Portfolio
2025-04-24 00:00:00,PFE,-0.15,4,10,26,40,Portfolio
2025-04-24 00:00:00,RTX,-0.125,7,12,21,40,Portfolio
2025-04-24 00:00:00,SRAD,0.25,12,2,26,40,Portfolio
2025-04-24 00:00:00,UUUU,0.1052631578947368,7,3,28,38,Portfolio
2025-04-24 00:00:00,ADI,0.1470588235294117,10,5,19,34,Portfolio
2025-04-24 00:00:00,GOOGL,0.2,11,3,26,40,Watchlist
2025-04-24 00:00:00,LLY,0.1,10,6,24,40,Portfolio
2025-04-24 00:00:00,MRVL,-0.05,10,12,18,40,Portfolio
2025-04-24 00:00:00,NVMI,-0.0454545454545454,3,4,15,22,Portfolio
2025-04-24 00:00:00,PFE,-0.15,4,10,26,40,Portfolio
2025-04-24 00:00:00,RTX,-0.1,8,12,20,40,Portfolio
2025-04-24 00:00:00,SRAD,0.2,11,3,26,40,Portfolio
2025-04-24 00:00:00,UUUU,0.1052631578947368,7,3,28,38,Portfolio
2025-04-24 00:00:00,ADI,0.1470588235294117,10,5,19,34,Portfolio
2025-04-24 00:00:00,GOOGL,0.15,10,4,26,40,Watchlist
2025-04-24 00:00:00,LLY,0.1,10,6,24,40,Portfolio
2025-04-24 00:00:00,MRVL,-0.05,10,12,18,40,Portfolio
2025-04-24 00:00:00,NVMI,-0.0454545454545454,3,4,15,22,Portfolio
2025-04-24 00:00:00,PFE,-0.15,4,10,26,40,Portfolio
2025-04-24 00:00:00,RTX,-0.15,6,12,22,40,Portfolio
2025-04-24 00:00:00,SRAD,0.2,11,3,26,40,Portfolio
2025-04-24 00:00:00,UUUU,0.1052631578947368,7,3,28,38,Portfolio
2025-04-24 00:00:00,ADI,0.1142857142857142,10,6,19,35,Portfolio
2025-04-24 00:00:00,GOOGL,0.3,15,3,22,40,Watchlist
2025-04-24 00:00:00,LLY,0.125,11,6,23,40,Portfolio
2025-04-24 00:00:00,MRVL,-0.05,9,11,20,40,Portfolio
2025-04-24 00:00:00,NVMI,-0.0454545454545454,3,4,15,22,Portfolio
2025-04-24 00:00:00,PFE,-0.125,4,9,27,40,Portfolio
2025-04-24 00:00:00,RTX,-0.125,7,12,21,40,Portfolio
2025-04-24 00:00:00,SRAD,0.25,12,2,26,40,Portfolio
2025-04-24 00:00:00,UUUU,0.1052631578947368,7,3,28,38,Portfolio
2025-04-24 00:00:00,AAPL,-0.15,5,11,24,40,Watchlist
2025-04-24 00:00:00,ADI,0.1176470588235294,10,6,18,34,Portfolio
2025-04-24 00:00:00,GOOGL,0.225,13,4,23,40,Watchlist
2025-04-24 00:00:00,LLY,0.125,11,6,23,40,Portfolio
2025-04-24 00:00:00,MRVL,-0.05,9,11,20,40,Portfolio
2025-04-24 00:00:00,MSFT,0.0,5,5,30,40,Watchlist
2025-04-24 00:00:00,NVDA,-0.0689655172413793,3,5,21,29,Watchlist
2025-04-24 00:00:00,NVMI,-0.0454545454545454,3,4,15,22,Portfolio
2025-04-24 00:00:00,PFE,-0.125,4,9,27,40,Portfolio
2025-04-24 00:00:00,PLTR,0.125,10,5,25,40,Watchlist
2025-04-24 00:00:00,RTX,-0.15,6,12,22,40,Portfolio
2025-04-24 00:00:00,SRAD,0.225,12,3,25,40,Portfolio
2025-04-24 00:00:00,TSLA,-0.2,8,16,16,40,Watchlist
2025-04-24 00:00:00,UUUU,0.1052631578947368,7,3,28,38,Portfolio
2025-04-24 00:00:00,AAPL,-0.15,5,11,24,40,Watchlist
2025-04-24 00:00:00,ADI,0.1142857142857142,10,6,19,35,Portfolio
2025-04-24 00:00:00,GOOGL,0.225,13,4,23,40,Watchlist
2025-04-24 00:00:00,LLY,0.125,11,6,23,40,Portfolio
2025-04-24 00:00:00,MRVL,-0.05,9,11,20,40,Portfolio
2025-04-24 00:00:00,MSFT,0.0,5,5,30,40,Watchlist
2025-04-24 00:00:00,NVDA,-0.0344827586206896,3,4,22,29,Watchlist
2025-04-24 00:00:00,NVMI,-0.0454545454545454,3,4,15,22,Portfolio
2025-04-24 00:00:00,PFE,-0.15,4,10,26,40,Portfolio
2025-04-24 00:00:00,PLTR,0.125,10,5,25,40,Watchlist
2025-04-24 00:00:00,RTX,-0.125,7,12,21,40,Portfolio
2025-04-24 00:00:00,SRAD,0.225,12,3,25,40,Portfolio
2025-04-24 00:00:00,TSLA,-0.2,8,16,16,40,Watchlist
2025-04-24 00:00:00,UUUU,0.1052631578947368,7,3,28,38,Portfolio
2025-04-24 00:00:00,AAPL,-0.15,5,11,24,40,Watchlist
2025-04-24 00:00:00,ADI,0.1176470588235294,10,6,18,34,Portfolio
2025-04-24 00:00:00,GOOGL,0.225,13,4,23,40,Watchlist
2025-04-24 00:00:00,LLY,0.125,11,6,23,40,Portfolio
2025-04-24 00:00:00,MRVL,-0.05,9,11,20,40,Portfolio
2025-04-24 00:00:00,MSFT,0.0,5,5,30,40,Watchlist
2025-04-24 00:00:00,NVDA,-0.0344827586206896,3,4,22,29,Watchlist
2025-04-24 00:00:00,NVMI,-0.0454545454545454,3,4,15,22,Portfolio
2025-04-24 00:00:00,PFE,-0.125,4,9,27,40,Portfolio
2025-04-24 00:00:00,PLTR,0.15,10,4,26,40,Watchlist
2025-04-24 00:00:00,RTX,-0.125,7,12,21,40,Portfolio
2025-04-24 00:00:00,SRAD,0.225,12,3,25,40,Portfolio
2025-04-24 00:00:00,TSLA,-0.2,8,16,16,40,Watchlist
2025-04-24 00:00:00,UUUU,0.1052631578947368,7,3,28,38,Portfolio
2025-04-25,AAPL,0.8311034567698747,27,41,99,167,Watchlist
2025-04-25,ADI,0.7998556236808116,13,11,28,52,Portfolio
2025-04-25,GOOGL,0.8203434306999733,40,14,62,116,Watchlist
2025-04-25,LLY,0.8141002786847261,30,15,59,104,Portfolio
2025-04-25,MRVL,0.79409116672145,15,17,40,72,Portfolio
2025-04-25,MSFT,0.8322439736127853,12,13,75,100,Watchlist
2025-04-25,NVDA,0.8180145011828827,17,24,70,111,Portfolio
2025-04-25,PFE,0.8115609576727482,11,26,57,94,Portfolio
2025-04-25,PLTR,0.7981862708412367,33,8,75,116,Watchlist
2025-04-25,RTX,0.8475779737035434,22,29,69,120,Portfolio
2025-04-25,SRAD,0.8265991253512246,25,9,57,91,Portfolio
2025-04-25,TSLA,0.8151213105197426,23,26,62,111,Watchlist
2025-04-25,UUUU,0.7783447845528523,11,4,33,48,Portfolio
